,order_id,customer_id,order_type,promo,order_sum,age,name,last_name,gender
0,1,379,website,0,349,21,Милана,Латышева,ж
5,2,236,website,0,1035,34,Матвей,Иванов,м
9,4,705,website,0,1032,37,Марина,Третьякова,ж
12,5,623,website,0,2275,35,Кристина,Семенова,ж
14,6,716,website,0,664,32,Дмитрий,Федоров,м
17,7,607,website,1,350,46,София,Сазонова,ж
19,8,560,phone,0,678,36,Дарья,Пименова,ж
20,9,74,website,1,350,34,Никита,Бессонов,м
21,10,645,phone,0,999,31,Елизавета,Смирнова,ж
28,14,298,website,0,331,30,Виктория,Козлова,ж
30,15,141,website,0,316,28,Алиса,Горохова,ж
32,16,33,website,1,700,33,Вероника,Артамонова,ж
33,17,270,website,1,700,27,Валерия,Казакова,ж
35,18,470,website,0,323,21,Лев,Муравьев,м
38,20,59,phone,0,316,40,Анна,Белова,ж
40,21,42,phone,0,930,38,София,Астафьева,ж
42,22,621,phone,0,1392,36,Андрей,Семенов,м
45,24,196,website,0,302,26,Варвара,Ефимова,ж
47,25,728,phone,0,311,44,Глеб,Федотов,м
50,27,288,website,0,303,18,Анастасия,Климова,ж
53,28,511,website,0,350,25,Кристина,Никулина,ж
55,29,99,website,1,350,33,Анна,Васильева,ж
58,30,669,website,0,664,22,Мария,Сорокина,ж
63,31,525,website,0,987,34,Ульяна,Озерова,ж
64,32,366,website,0,640,24,Григорий,Куликов,м
70,34,562,phone,0,346,51,Полина,Позднякова,ж
72,35,554,website,0,1288,28,Ева,Петрова,ж
75,36,760,phone,0,1320,34,Полина,Чернова,ж
76,37,514,website,1,700,29,Филипп,Новиков,м
83,41,244,website,0,320,44,Майя,Иванова,ж
85,42,209,website,1,350,40,Лев,Зайцев,м
87,44,370,website,1,700,18,Мария,Куликова,ж
90,45,203,website,1,700,18,Анна,Жданова,ж
91,46,118,phone,0,349,30,Василиса,Волкова,ж
96,48,416,phone,0,660,34,Леонид,Малинин,м
101,52,548,website,0,337,22,Матвей,Петров,м
105,54,90,website,0,331,42,Алиса,Бочарова,ж
106,55,763,website,0,328,28,Елизавета,Чернышева,ж
108,56,327,website,1,350,21,Максим,Котов,м
94,60,27,website,0,316,20,Ярослав,Анисимов,м
116,61,46,website,0,698,28,Ника,Афанасьева,ж
118,63,786,website,1,350,25,Серафим,Щербаков,м
121,64,495,website,1,700,18,Леонид,Никифоров,м
124,66,73,website,1,350,25,Полина,Беспалова,ж
128,67,163,website,0,636,18,Даниил,Давыдов,м
131,68,110,website,0,634,18,Александр,Вишневский,м
132,69,159,phone,0,644,38,Денис,Гусев,м
139,72,558,phone,0,317,37,Дмитрий,Петухов,м
141,73,239,website,0,996,23,Марк,Иванов,м
