,order_id,customer_id,order_type,promo,order_sum,age,name,last_name,gender
6,3,220,app,0,600,18,Алиса,Захарова,ж
22,11,312,app,1,350,32,Захар,Копылов,м
23,12,368,app,0,688,22,Ева,Куликова,ж
25,13,567,app,0,978,21,Анастасия,Полякова,ж
36,19,262,app,0,1008,28,Василий,Исаев,м
44,23,731,app,0,324,28,Фёдор,Филимонов,м
48,26,80,app,0,338,29,Мария,Большакова,ж
68,33,144,app,0,315,18,Михаил,Греков,м
79,38,678,app,1,350,26,Полина,Степанова,ж
80,39,662,app,1,700,29,Тимофей,Соловьев,м
82,40,798,app,0,3460,27,Виктория,Яковлева,ж
24,43,368,app,0,1308,22,Ева,Куликова,ж
93,47,27,app,0,906,20,Ярослав,Анисимов,м
97,49,474,app,0,337,18,Ольга,Мухина,ж
99,50,10,app,0,314,50,Егор,Александров,м
100,51,167,app,1,350,35,Арина,Демина,ж
103,53,34,app,1,350,22,Иван,Артемов,м
110,57,82,app,1,700,19,Александр,Борисов,м
112,58,640,app,0,327,33,Дмитрий,Смирнов,м
114,59,537,app,0,311,38,Анна,Павлова,ж
117,62,446,app,1,350,25,Анна,Миронова,ж
123,65,175,app,0,328,42,Мирослав,Дмитриев,м
133,70,166,app,1,350,18,Юрий,Дегтярев,м
135,71,319,app,0,1304,27,Никита,Королев,м
144,74,552,app,0,335,50,Анна,Петрова,ж
146,75,182,app,0,328,18,Василиса,Дьяконова,ж
149,76,201,app,0,638,20,Даниил,Жданов,м
155,80,551,app,0,1017,34,Екатерина,Петрова,ж
161,83,189,app,1,700,46,Мария,Егорова,ж
164,84,617,app,0,302,20,Дарья,Севастьянова,ж
165,85,44,app,0,960,26,Леонид,Афанасьев,м
166,86,575,app,0,648,36,Александра,Попова,ж
145,93,552,app,1,700,50,Анна,Петрова,ж
184,97,513,app,0,672,33,Дмитрий,Новиков,м
186,98,794,app,0,327,18,Тимофей,Юдин,м
189,99,230,app,0,672,29,София,Золотарева,ж
194,103,466,app,0,304,28,Злата,Морозова,ж
